Hamlet 1 William_Shakespeare 10 14 0
Richard_II 2 William_Shakespeare 15 5 0
As_You_Like_It 3 William_Shakespeare 7 9 0
King_Lear 4 William_Shakespeare 12 2 0
The_Tempest 5 William_Shakespeare 10 4 0
Ulysses 6 James_Joyce 56 6 0
Finn's_Hotel 7 James_Joyce 6 5 0
Dubliners 8 James_Joyce 5 6 0
Finnegans_Wake 9 James_Joyce 4 10 0
Chamber_Music 10 James_Joyce 12 7 0
Stephen_Hero 11 James_Joyce 56 6 0
Tomb_of_Sand 12 Geetanjali_Shree’s 12 29 0
Between_Two_Worlds 13 Geetanjali_Shree’s 17 20 0
War_and_Peace 14 Leo_Tolstoy 6 12 0
The_Great_Gatsby 15 F._Scott_Fitzgerald 7 14 0
Don_Quixote 16 Miguel_de_Cervantes 9 16 0
Hear_Yourself 17 Prem_Rawat 3 20 0
Lal_Salam 18 Smriti_Irani 6 12 0
Queen_of_Fire 19 Devika_Rangachari 4 15 0
When_Breath_Becomes_Air 20 Paul_Kalanithi 9 22 0
